Q,0,:
Layer 0,Attention mechanism,"('<s>', 3)","('пута', 1)","('sime', 1)","('瀬', 0)","('држави', 0)","('unicí', 0)","('őd', 0)","('invånare', 0)","('férences', 0)","('empre', 0)",Intermediate residual stream,"('sime', 2)","('<s>', 1)","('пута', 1)","('瀬', 0)","('unicí', 0)","('férences', 0)","('gerufen', 0)","('invånare', 0)","('cí', 0)","('ímp', 0)",MLP output,"('<s>', 18)","('bolds', 8)","('archivi', 7)","('ungsseite', 3)","('textt', 2)","('пута', 2)","('sime', 1)","('씨', 1)","('trakten', 0)","('ímp', 0)",Block output,"('<s>', 16)","('sime', 4)","('пута', 3)","('bolds', 3)","('archivi', 1)","('씨', 1)","('ímp', 1)","('trakten', 1)","('瀬', 1)","('textt', 1)"
Layer 2,Attention mechanism,"('aran', 1)","('Ë', 0)","('iesa', 0)","('indeed', 0)","('Kontrola', 0)","('diff', 0)","('Bedeut', 0)","('ograf', 0)","('uky', 0)","('differ', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('nobody', 1)","('nahm', 0)","('everybody', 0)","('⁻', 0)","('Hinweis', 0)","('ἱ', 0)","('einges', 0)","('Begriffe', 0)","('Википеди', 0)","('�', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 3,Attention mechanism,"('culo', 4)","('multicol', 1)","('fr', 1)","('Gan', 0)","('Ī', 0)","('Reichs', 0)","('Knight', 0)","('gang', 0)","('fr', 0)","('朝', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('mals', 2)","('<s>', 2)","('getMessage', 1)","('eness', 1)","('Mah', 1)","('gmina', 0)","('Async', 0)","('雲', 0)","('Piet', 0)","('ependant', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 4,Attention mechanism,"('sor', 1)","('ksam', 0)","('сор', 0)","('ktet', 0)","('homonymes', 0)","('тник', 0)","('chain', 0)","('zat', 0)","('Хронологија', 0)","('ussen', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('disambiguation', 1)","('➖', 1)","('apsed', 0)","('prü', 0)","('printStackTrace', 0)","('‐', 0)","('ystycz', 0)","('•', 0)","('uria', 0)","('vy', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 5,Attention mechanism,"('ombres', 1)","('нец', 0)","('рій', 0)","('ambda', 0)","('arias', 0)","('Û', 0)","('uclide', 0)","('onymes', 0)","('uca', 0)","('FAULT', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Catalogue', 0)","('against', 0)","('Null', 0)","('net', 0)","('added', 0)","('Wright', 0)","('baum', 0)","('disp', 0)","('…', 0)","('oups', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 6,Attention mechanism,"('rés', 1)","('LOC', 0)","('FAULT', 0)","('_', 0)","('estaven', 0)","('Santa', 0)","('Nu', 0)","('atom', 0)","('Extern', 0)","('Word', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ppi', 1)","('simple', 0)","('why', 0)","('short', 0)","('speed', 0)","('v', 0)","('тво', 0)","('CC', 0)","('ченко', 0)","('figure', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 7,Attention mechanism,"('onCreate', 1)","('му', 1)","('alf', 0)","('Rund', 0)","('⟶', 0)","('ju', 0)","('bum', 0)","('oupe', 0)","('çais', 0)","('registers', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('at', 2)","('ML', 1)","('opt', 0)","('about', 0)","('ol', 0)","('Gol', 0)","('Gram', 0)","('◄', 0)","('SS', 0)","('op', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 8,Attention mechanism,"('❯', 8)","('tring', 4)","('Przyp', 2)","('aucoup', 1)","('<s>', 1)","('prüfe', 0)","('zug', 0)","('рела', 0)","('tons', 0)","('guez', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('h', 1)","('un', 1)","('t', 0)","('Pen', 0)","('in', 0)","('sp', 0)","('\n', 0)","('use', 0)","('o', 0)","('oil', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 9,Attention mechanism,"('oly', 1)","('Zero', 1)","('abase', 1)","('anst', 1)","('achiv', 0)","('нос', 0)","('contents', 0)","('kop', 0)","('prüfe', 0)","('рь', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Zyg', 0)","('dro', 0)","('data', 0)","('experiments', 0)","('ID', 0)","('fiddle', 0)","('戸', 0)","('Ori', 0)","('ade', 0)","('uter', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 10,Attention mechanism,"('wach', 2)","('autorité', 1)","('Sank', 0)","('стве', 0)","('ató', 0)","('げ', 0)","('ashi', 0)","('bands', 0)","('bia', 0)","('Syst', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('DO', 0)","('Fitz', 0)","('uniform', 0)","('inge', 0)","('ros', 0)","('Dru', 0)","('(', 0)","('[', 0)","('ono', 0)","('ao', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 11,Attention mechanism,"('Ont', 2)","('TL', 2)","('exactly', 0)","('KS', 0)","('ɾ', 0)","('merk', 0)","('tong', 0)","('ART', 0)","('Compet', 0)","('ower', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ur', 1)","('worth', 0)","('worth', 0)","('ardi', 0)","('pill', 0)","('purs', 0)","('нос', 0)","('and', 0)","('合', 0)","('skip', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 12,Attention mechanism,"('Uniti', 10)","('uil', 7)","('ViewById', 1)","('ヴ', 1)","('Roc', 0)","('AccessorImpl', 0)","('$}}%', 0)","('lais', 0)","('zerw', 0)","('terra', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ж', 0)","('bum', 0)","('Sax', 0)","('usk', 0)","('yes', 0)","('stag', 0)","('res', 0)","('skip', 0)","('ail', 0)","('experiment', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 13,Attention mechanism,"('Whe', 1)","('oid', 0)","('ibrary', 0)","('aur', 0)","('ija', 0)","('ови', 0)","('ֵ', 0)","('кра', 0)","('Encyc', 0)","('mez', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('proper', 0)","('â', 0)","('t', 0)","('in', 0)","('bridge', 0)","('mask', 0)","('res', 0)","('(@', 0)","('gaz', 0)","('middle', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 14,Attention mechanism,"('cil', 0)","('okal', 0)","('race', 0)","('пор', 0)","('uvo', 0)","('Lak', 0)","('kre', 0)","('rance', 0)","('agner', 0)","('da', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('res', 1)","('expl', 0)","('.', 0)","('gut', 0)","('eni', 0)","('eth', 0)","('battery', 0)","('(', 0)","('atter', 0)","('fuel', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 15,Attention mechanism,"('hein', 1)","('gas', 0)","('ĕ', 0)","('ilor', 0)","('Se', 0)","('Historia', 0)","('meister', 0)","('Wend', 0)","('Se', 0)","('umed', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ią', 1)","('星', 0)","('istan', 0)","('complex', 0)","('etes', 0)","('inject', 0)","('ześ', 0)","('â', 0)","('ree', 0)","('›', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 16,Attention mechanism,"('til', 2)","('aff', 0)","('ulen', 0)","('ON', 0)","('Dean', 0)","('ija', 0)","('lav', 0)","('Brigade', 0)","('ody', 0)","('brig', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('geprüft', 5)","('guez', 2)","('lês', 2)","('&=\\', 1)","('⁻', 1)","('brary', 0)","('textt', 0)","('≫', 0)","('Unterscheidung', 0)","('prüfe', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 17,Attention mechanism,"('licht', 0)","('lon', 0)","('veg', 0)","('gouvern', 0)","('ś', 0)","('ăr', 0)","('reten', 0)","('ош', 0)","('ugel', 0)","('emo', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('.', 1)","('/', 1)","('in', 1)","('\u200b', 1)","('.', 0)","(';', 0)","('(', 0)","('(', 0)","('iner', 0)","('-', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 18,Attention mechanism,"('$?', 4)","('achiv', 1)","('Piet', 1)","('commission', 0)","('fc', 0)","('Pam', 0)","('Rhein', 0)","('stab', 0)","('FT', 0)","('elen', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('estanden', 4)","('\n', 1)","('azon', 0)","('onk', 0)","('oure', 0)","('тет', 0)","('multicol', 0)","('ณ', 0)","('ándose', 0)","('сть', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 19,Attention mechanism,"('heck', 2)","('verso', 0)","('voy', 0)","('ização', 0)","('bund', 0)","('reb', 0)","('mbH', 0)","('izada', 0)","('ensk', 0)","('ERR', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('textt', 4)","('člán', 3)","('lês', 3)","('prüfe', 2)","('archivi', 2)","('données', 2)","('geprüft', 2)","('prilis', 1)","('ˇ', 1)","('entferne', 1)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 20,Attention mechanism,"('rola', 5)","('ʹ', 1)","('工', 1)","('▲', 0)","('Leip', 0)","('webpack', 0)","('clud', 0)","('cost', 0)","('利', 0)","('Wir', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('uil', 3)","('Contempor', 1)","('aku', 1)","('ilon', 1)","('Mort', 1)","('Por', 0)","('Roland', 0)","('yter', 0)","('ándose', 0)","('tables', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 21,Attention mechanism,"('Econom', 47)","('economic', 15)","('econom', 2)","('labor', 0)","('conom', 0)","('Bert', 0)","('----+', 0)","('IZ', 0)","('Labor', 0)","('favor', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('es', 37)","('oot', 1)","('outer', 0)","('.', 0)","('száz', 0)","('eso', 0)","('esa', 0)","('Por', 0)","('nest', 0)","('over', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 22,Attention mechanism,"('we', 4)","('cost', 3)","('cost', 2)","('costs', 1)","('Cost', 0)","('Cost', 0)","('kost', 0)","('WE', 0)","('onto', 0)","('Jr', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('alis', 1)","('eken', 0)","('ing', 0)","('Tags', 0)","('Dabei', 0)","('oke', 0)","('Ob', 0)","('isses', 0)","('me', 0)","('imer', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 23,Attention mechanism,"('Hed', 6)","('fish', 2)","('ò', 0)","('beskre', 0)","('burg', 0)","('Edition', 0)","('ensen', 0)","('unden', 0)","('isen', 0)","('imeter', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ue', 2)","('ale', 2)","('ille', 1)","('oke', 1)","('oot', 1)","('oud', 1)","('lik', 0)","('<s>', 0)","('сле', 0)","('alet', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 24,Attention mechanism,"('We', 3)","('transport', 0)","('&=\\', 0)","('\n', 0)","('Wies', 0)","('kwiet', 0)","('Transport', 0)","('Transport', 0)","('location', 0)","('Location', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('igh', 1)","('CD', 1)","('mask', 0)","('ğ', 0)","('Tags', 0)","('oug', 0)","('�', 0)","('xis', 0)","('schließ', 0)","('erie', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 25,Attention mechanism,"('fred', 3)","('Frederick', 2)","('alberga', 2)","('Alfred', 2)","('III', 1)","('Samuel', 1)","('iare', 0)","('each', 0)","('�', 0)","('Fred', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Dabei', 1)","('(', 1)","('.,', 1)","('Außerdem', 1)","('I', 0)","('oot', 0)","('ild', 0)","('←', 0)","('hips', 0)","('ues', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 26,Attention mechanism,"('firm', 36)","('Alfred', 34)","('plant', 8)","('fir', 6)","('plants', 3)","('Fir', 2)","('fir', 1)","('factory', 1)","('factory', 0)","('Factory', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('(', 5)","('<s>', 2)","('-', 1)","('--', 1)","('He', 0)","('ized', 0)","('&', 0)","('Se', 0)","('She', 0)","('No', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 27,Attention mechanism,"('word', 3)","('Why', 3)","('his', 2)","('himself', 2)","('Why', 2)","('definition', 1)","('Wies', 1)","('Which', 1)","('why', 0)","('Definition', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('<s>', 99)","('jön', 0)","('abei', 0)","('sjö', 0)","('oltre', 0)","('�', 0)","('schließ', 0)","('findet', 0)","('arin', 0)","('éné', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 28,Attention mechanism,"('Cost', 47)","('Cost', 40)","('Kontrola', 0)","('Transport', 0)","('Labor', 0)","('Transport', 0)","('cost', 0)","('puesta', 0)","('Хронологија', 0)","('perty', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('<s>', 99)","('entferne', 0)","('mathchar', 0)","('beskre', 0)","('ungsseite', 0)","('$}}%', 0)","('archivi', 0)","('Begriffsklär', 0)","('Audiodateien', 0)","('AccessorImpl', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 29,Attention mechanism,"('capital', 8)","('sav', 3)","('Capital', 1)","('"",', 1)","('b', 1)","('Sav', 0)","('idenote', 0)","('Sc', 0)","('CO', 0)","('дель', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('$}}%', 30)","('beskre', 30)","('Хронологија', 1)","('archivi', 0)","('Попис', 0)","('perties', 0)","('Audiodateien', 0)","('Ћ', 0)","('konn', 0)","('ependant', 0)",Block output,"('Unterscheidung', 2)","('sierp', 2)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('Einzeln', 1)","('everybody', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 30,Attention mechanism,"('""[', 5)","('________', 4)","('____', 3)","('""(', 2)","('_', 2)","('________________', 2)","('[_', 2)","('--""', 0)","('Develop', 0)","('[""', 0)",Intermediate residual stream,"('Unterscheidung', 2)","('sierp', 2)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('Einzeln', 1)","('everybody', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Љ', 0)","('Ъ', 0)","('Ћ', 0)","('Џ', 0)","('Ё', 0)","('հ', 0)","('Щ', 0)","('գ', 0)","('Մ', 0)","('Հ', 0)",Block output,"('\n', 19)","('</s>', 1)","('A', 1)","('A', 1)","('The', 0)","('1', 0)","('(', 0)","('""', 0)","('I', 0)","('L', 0)"
Layer 31,Attention mechanism,"('Unterscheidung', 3)","('teger', 2)","('sierp', 1)","('->{', 1)","('ECT', 1)","('conde', 0)","('idenote', 0)","('ALSE', 0)","('(""@', 0)","('↳', 0)",Intermediate residual stream,"('\n', 39)","('""', 8)","('A', 5)","('L', 3)","('1', 2)","('The', 1)","('T', 1)","('I', 0)","('2', 0)","('a', 0)",MLP output,"('Location', 1)","('Transport', 0)","('Contract', 0)","('Management', 0)","('Oper', 0)","('Produ', 0)","('Information', 0)","('Question', 0)","('Equ', 0)","('Property', 0)",Block output,"('The', 5)","('A', 3)","('1', 3)","('What', 2)","('L', 2)","('""', 1)","('How', 1)","('2', 1)","('Cost', 1)","('(', 1)"
"
"
Q,3,:
Layer 0,Attention mechanism,"('<s>', 6)","('férences', 1)","('пута', 1)","('sime', 0)","('ímp', 0)","('Ḩ', 0)","('桥', 0)","('penas', 0)","('瀬', 0)","('држави', 0)",Intermediate residual stream,"('<s>', 3)","('férences', 1)","('sime', 0)","('пута', 0)","('ímp', 0)","('𝓝', 0)","('瀬', 0)","('Ḩ', 0)","('ategory', 0)","('ográfica', 0)",MLP output,"('<s>', 24)","('archivi', 4)","('embros', 1)","('ungsseite', 1)","('Portail', 1)","('씨', 1)","('瀬', 1)","('пута', 0)","('textt', 0)","('trightarrow', 0)",Block output,"('<s>', 21)","('пута', 1)","('瀬', 1)","('férences', 1)","('archivi', 1)","('ímp', 0)","('embros', 0)","('씨', 0)","('trightarrow', 0)","('𝓝', 0)"
Layer 1,Attention mechanism,"('refer', 0)","('ani', 0)","('références', 0)","('ardi', 0)","('ap', 0)","('éo', 0)","('madre', 0)","('ë', 0)","('тар', 0)","('gouvern', 0)",Intermediate residual stream,"('<s>', 74)","('Ḩ', 0)","('quelle', 0)","('瀬', 0)","('월', 0)","('ǫ', 0)","('opera', 0)","('타', 0)","('férences', 0)","('abhäng', 0)",MLP output,"('trim', 2)","('Bibliografía', 1)","('inkel', 1)","('trim', 0)","('aris', 0)","('otte', 0)","('inf', 0)","('Hend', 0)","('ae', 0)","('cas', 0)",Block output,"('<s>', 61)","('anim', 0)","('penas', 0)","('ultimo', 0)","('Hend', 0)","('read', 0)","('ответ', 0)","('Ward', 0)","('ategory', 0)","('stru', 0)"
Layer 2,Attention mechanism,"('""', 2)","('Memory', 1)","('aso', 1)","('\t', 1)","('Text', 0)","('.', 0)","('Navigation', 0)","('Dist', 0)","('witness', 0)","('oro', 0)",Intermediate residual stream,"('<s>', 53)","('penas', 0)","('ae', 0)","('read', 0)","('opera', 0)","('ategory', 0)","('Hend', 0)","('ответ', 0)","(',', 0)","('entertain', 0)",MLP output,"('pid', 1)","('yr', 0)","('Air', 0)","('issen', 0)","('yter', 0)","('word', 0)","('ظ', 0)","('AXI', 0)","('rę', 0)","('hour', 0)",Block output,"('<s>', 4)","('ответ', 0)","('penas', 0)","('Außer', 0)","('opera', 0)","('yter', 0)","('actér', 0)","('ISSN', 0)","(',', 0)","('Hend', 0)"
